txn_id,sourceTimestamp_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
62992,28,318.51,1,318.51,NaN,318.51,318.51,318.51,NaN,0.0,NaN,NaN,318.51,0.0,NaN,NaN
63099,28,686.47,1,686.47,NaN,686.47,686.47,686.47,NaN,0.0,NaN,NaN,686.47,0.0,NaN,NaN
63302,28,196.9,1,196.9,NaN,196.9,196.9,196.9,NaN,0.0,NaN,NaN,196.9,0.0,NaN,NaN
63506,28,45.54,1,45.54,NaN,45.54,45.54,45.54,NaN,0.0,NaN,NaN,45.54,0.0,NaN,NaN
63581,28,320.35,1,320.35,NaN,320.35,320.35,320.35,NaN,0.0,NaN,NaN,320.35,0.0,NaN,NaN
64172,28,418.45,1,418.45,NaN,418.45,418.45,418.45,NaN,0.0,NaN,NaN,418.45,0.0,NaN,NaN
64382,28,165.55,1,165.55,NaN,165.55,165.55,165.55,NaN,0.0,NaN,NaN,165.55,0.0,NaN,NaN
64404,28,1118.04,1,1118.04,NaN,1118.04,1118.04,1118.04,NaN,0.0,NaN,NaN,1118.04,0.0,NaN,NaN
64786,28,312.44,1,312.44,NaN,312.44,312.44,312.44,NaN,0.0,NaN,NaN,312.44,0.0,NaN,NaN
65078,28,129.3,1,129.3,NaN,129.3,129.3,129.3,NaN,0.0,NaN,NaN,129.3,0.0,NaN,NaN
65456,28,250.5,1,250.5,NaN,250.5,250.5,250.5,NaN,0.0,NaN,NaN,250.5,0.0,NaN,NaN
65693,28,330.11,1,330.11,NaN,330.11,330.11,330.11,NaN,0.0,NaN,NaN,330.11,0.0,NaN,NaN
65708,28,338.84,1,338.84,NaN,338.84,338.84,338.84,NaN,0.0,NaN,NaN,338.84,0.0,NaN,NaN
65732,28,300.78,1,300.78,NaN,300.78,300.78,300.78,NaN,0.0,NaN,NaN,300.78,0.0,NaN,NaN
65888,28,913.36,1,913.36,NaN,913.36,913.36,913.36,NaN,0.0,NaN,NaN,913.36,0.0,NaN,NaN
65996,28,65.4,1,65.4,NaN,65.4,65.4,65.4,NaN,0.0,NaN,NaN,65.4,0.0,NaN,NaN
66146,28,47.5,1,47.5,NaN,47.5,47.5,47.5,NaN,0.0,NaN,NaN,47.5,0.0,NaN,NaN
66533,28,51.36,1,51.36,NaN,51.36,51.36,51.36,NaN,0.0,NaN,NaN,51.36,0.0,NaN,NaN
66597,28,139.68,1,139.68,NaN,139.68,139.68,139.68,NaN,0.0,NaN,NaN,139.68,0.0,NaN,NaN
66611,28,600.72,1,600.72,NaN,600.72,600.72,600.72,NaN,0.0,NaN,NaN,600.72,0.0,NaN,NaN
66894,28,284.75,1,284.75,NaN,284.75,284.75,284.75,NaN,0.0,NaN,NaN,284.75,0.0,NaN,NaN
67125,28,326.4,1,326.4,NaN,326.4,326.4,326.4,NaN,0.0,NaN,NaN,326.4,0.0,NaN,NaN
67775,28,2365.91,1,2365.91,NaN,2365.91,2365.91,2365.91,NaN,0.0,NaN,NaN,2365.91,0.0,NaN,NaN
67920,28,338.03,1,338.03,NaN,338.03,338.03,338.03,NaN,0.0,NaN,NaN,338.03,0.0,NaN,NaN
68322,28,231.35,1,231.35,NaN,231.35,231.35,231.35,NaN,0.0,NaN,NaN,231.35,0.0,NaN,NaN
68914,28,490.87,1,490.87,NaN,490.87,490.87,490.87,NaN,0.0,NaN,NaN,490.87,0.0,NaN,NaN
69317,28,106.91,1,106.91,NaN,106.91,106.91,106.91,NaN,0.0,NaN,NaN,106.91,0.0,NaN,NaN
69320,28,416.65,1,416.65,NaN,416.65,416.65,416.65,NaN,0.0,NaN,NaN,416.65,0.0,NaN,NaN
69383,28,307.56,1,307.56,NaN,307.56,307.56,307.56,NaN,0.0,NaN,NaN,307.56,0.0,NaN,NaN
