txn_id,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
80006,6.24,1,6.24,NaN,6.24,6.24,6.24,NaN,0.0,NaN,NaN,6.24,0.0,NaN,NaN
80033,323.04,1,323.04,NaN,323.04,323.04,323.04,NaN,0.0,NaN,NaN,323.04,0.0,NaN,NaN
80332,21.0,1,21.0,NaN,21.0,21.0,21.0,NaN,0.0,NaN,NaN,21.0,0.0,NaN,NaN
80451,1115.52,1,1115.52,NaN,1115.52,1115.52,1115.52,NaN,0.0,NaN,NaN,1115.52,0.0,NaN,NaN
80579,351.54,1,351.54,NaN,351.54,351.54,351.54,NaN,0.0,NaN,NaN,351.54,0.0,NaN,NaN
81349,213.72,1,213.72,NaN,213.72,213.72,213.72,NaN,0.0,NaN,NaN,213.72,0.0,NaN,NaN
81410,108.4,1,108.4,NaN,108.4,108.4,108.4,NaN,0.0,NaN,NaN,108.4,0.0,NaN,NaN
81501,16.5,1,16.5,NaN,16.5,16.5,16.5,NaN,0.0,NaN,NaN,16.5,0.0,NaN,NaN
81734,380.64,1,380.64,NaN,380.64,380.64,380.64,NaN,0.0,NaN,NaN,380.64,0.0,NaN,NaN
81900,170.31,1,170.31,NaN,170.31,170.31,170.31,NaN,0.0,NaN,NaN,170.31,0.0,NaN,NaN
82529,367.78,1,367.78,NaN,367.78,367.78,367.78,NaN,0.0,NaN,NaN,367.78,0.0,NaN,NaN
82582,4.68,1,4.68,NaN,4.68,4.68,4.68,NaN,0.0,NaN,NaN,4.68,0.0,NaN,NaN
82672,302.56,1,302.56,NaN,302.56,302.56,302.56,NaN,0.0,NaN,NaN,302.56,0.0,NaN,NaN
82730,149.01,1,149.01,NaN,149.01,149.01,149.01,NaN,0.0,NaN,NaN,149.01,0.0,NaN,NaN
82794,141.88,1,141.88,NaN,141.88,141.88,141.88,NaN,0.0,NaN,NaN,141.88,0.0,NaN,NaN
83242,40.8,1,40.8,NaN,40.8,40.8,40.8,NaN,0.0,NaN,NaN,40.8,0.0,NaN,NaN
83250,310.18,1,310.18,NaN,310.18,310.18,310.18,NaN,0.0,NaN,NaN,310.18,0.0,NaN,NaN
83693,730.38,1,730.38,NaN,730.38,730.38,730.38,NaN,0.0,NaN,NaN,730.38,0.0,NaN,NaN
83861,217.33,1,217.33,NaN,217.33,217.33,217.33,NaN,0.0,NaN,NaN,217.33,0.0,NaN,NaN
84018,83.6,1,83.6,NaN,83.6,83.6,83.6,NaN,0.0,NaN,NaN,83.6,0.0,NaN,NaN
84812,300.65,1,300.65,NaN,300.65,300.65,300.65,NaN,0.0,NaN,NaN,300.65,0.0,NaN,NaN
85100,15.95,1,15.95,NaN,15.95,15.95,15.95,NaN,0.0,NaN,NaN,15.95,0.0,NaN,NaN
85253,33.75,1,33.75,NaN,33.75,33.75,33.75,NaN,0.0,NaN,NaN,33.75,0.0,NaN,NaN
85321,4.95,1,4.95,NaN,4.95,4.95,4.95,NaN,0.0,NaN,NaN,4.95,0.0,NaN,NaN
85332,3.8,1,3.8,NaN,3.8,3.8,3.8,NaN,0.0,NaN,NaN,3.8,0.0,NaN,NaN
85349,2.5,1,2.5,NaN,2.5,2.5,2.5,NaN,0.0,NaN,NaN,2.5,0.0,NaN,NaN
85749,1.25,1,1.25,NaN,1.25,1.25,1.25,NaN,0.0,NaN,NaN,1.25,0.0,NaN,NaN
86082,40.56,1,40.56,NaN,40.56,40.56,40.56,NaN,0.0,NaN,NaN,40.56,0.0,NaN,NaN
86927,11.25,1,11.25,NaN,11.25,11.25,11.25,NaN,0.0,NaN,NaN,11.25,0.0,NaN,NaN
87120,23.0,1,23.0,NaN,23.0,23.0,23.0,NaN,0.0,NaN,NaN,23.0,0.0,NaN,NaN
87338,27.9,1,27.9,NaN,27.9,27.9,27.9,NaN,0.0,NaN,NaN,27.9,0.0,NaN,NaN
87462,53.63,1,53.63,NaN,53.63,53.63,53.63,NaN,0.0,NaN,NaN,53.63,0.0,NaN,NaN
87616,12.48,1,12.48,NaN,12.48,12.48,12.48,NaN,0.0,NaN,NaN,12.48,0.0,NaN,NaN
87656,9.9,1,9.9,NaN,9.9,9.9,9.9,NaN,0.0,NaN,NaN,9.9,0.0,NaN,NaN
87724,15.9,1,15.9,NaN,15.9,15.9,15.9,NaN,0.0,NaN,NaN,15.9,0.0,NaN,NaN
87905,60.0,1,60.0,NaN,60.0,60.0,60.0,NaN,0.0,NaN,NaN,60.0,0.0,NaN,NaN
88599,16.5,1,16.5,NaN,16.5,16.5,16.5,NaN,0.0,NaN,NaN,16.5,0.0,NaN,NaN
88666,17.0,1,17.0,NaN,17.0,17.0,17.0,NaN,0.0,NaN,NaN,17.0,0.0,NaN,NaN
88674,9.9,1,9.9,NaN,9.9,9.9,9.9,NaN,0.0,NaN,NaN,9.9,0.0,NaN,NaN
89056,23.35,1,23.35,NaN,23.35,23.35,23.35,NaN,0.0,NaN,NaN,23.35,0.0,NaN,NaN
89385,12.75,1,12.75,NaN,12.75,12.75,12.75,NaN,0.0,NaN,NaN,12.75,0.0,NaN,NaN
89476,8.4,1,8.4,NaN,8.4,8.4,8.4,NaN,0.0,NaN,NaN,8.4,0.0,NaN,NaN
89537,99.6,1,99.6,NaN,99.6,99.6,99.6,NaN,0.0,NaN,NaN,99.6,0.0,NaN,NaN
89574,169.92,1,169.92,NaN,169.92,169.92,169.92,NaN,0.0,NaN,NaN,169.92,0.0,NaN,NaN
89844,75.65,1,75.65,NaN,75.65,75.65,75.65,NaN,0.0,NaN,NaN,75.65,0.0,NaN,NaN
89863,27.2,1,27.2,NaN,27.2,27.2,27.2,NaN,0.0,NaN,NaN,27.2,0.0,NaN,NaN
89874,20.8,1,20.8,NaN,20.8,20.8,20.8,NaN,0.0,NaN,NaN,20.8,0.0,NaN,NaN
89878,4.25,1,4.25,NaN,4.25,4.25,4.25,NaN,0.0,NaN,NaN,4.25,0.0,NaN,NaN
90019,19.95,1,19.95,NaN,19.95,19.95,19.95,NaN,0.0,NaN,NaN,19.95,0.0,NaN,NaN
90228,78.3,1,78.3,NaN,78.3,78.3,78.3,NaN,0.0,NaN,NaN,78.3,0.0,NaN,NaN
90461,11.05,1,11.05,NaN,11.05,11.05,11.05,NaN,0.0,NaN,NaN,11.05,0.0,NaN,NaN
90550,32.65,1,32.65,NaN,32.65,32.65,32.65,NaN,0.0,NaN,NaN,32.65,0.0,NaN,NaN
90817,4.1,1,4.1,NaN,4.1,4.1,4.1,NaN,0.0,NaN,NaN,4.1,0.0,NaN,NaN
50451,2002.4,1,2002.4,NaN,2002.4,2002.4,2002.4,NaN,0.0,NaN,NaN,2002.4,0.0,NaN,NaN
50546,1705.65,1,1705.65,NaN,1705.65,1705.65,1705.65,NaN,0.0,NaN,NaN,1705.65,0.0,NaN,NaN
50581,246.3,1,246.3,NaN,246.3,246.3,246.3,NaN,0.0,NaN,NaN,246.3,0.0,NaN,NaN
50732,1668.2,1,1668.2,NaN,1668.2,1668.2,1668.2,NaN,0.0,NaN,NaN,1668.2,0.0,NaN,NaN
50954,415.46,1,415.46,NaN,415.46,415.46,415.46,NaN,0.0,NaN,NaN,415.46,0.0,NaN,NaN
51142,205.64,1,205.64,NaN,205.64,205.64,205.64,NaN,0.0,NaN,NaN,205.64,0.0,NaN,NaN
51388,394.18,1,394.18,NaN,394.18,394.18,394.18,NaN,0.0,NaN,NaN,394.18,0.0,NaN,NaN
51433,182.02,1,182.02,NaN,182.02,182.02,182.02,NaN,0.0,NaN,NaN,182.02,0.0,NaN,NaN
51454,300.64,1,300.64,NaN,300.64,300.64,300.64,NaN,0.0,NaN,NaN,300.64,0.0,NaN,NaN
51622,110.1,1,110.1,NaN,110.1,110.1,110.1,NaN,0.0,NaN,NaN,110.1,0.0,NaN,NaN
51801,151.66,1,151.66,NaN,151.66,151.66,151.66,NaN,0.0,NaN,NaN,151.66,0.0,NaN,NaN
51927,411.4,1,411.4,NaN,411.4,411.4,411.4,NaN,0.0,NaN,NaN,411.4,0.0,NaN,NaN
52133,322.01,1,322.01,NaN,322.01,322.01,322.01,NaN,0.0,NaN,NaN,322.01,0.0,NaN,NaN
52264,220.06,1,220.06,NaN,220.06,220.06,220.06,NaN,0.0,NaN,NaN,220.06,0.0,NaN,NaN
52507,114.6,1,114.6,NaN,114.6,114.6,114.6,NaN,0.0,NaN,NaN,114.6,0.0,NaN,NaN
53172,113.64,1,113.64,NaN,113.64,113.64,113.64,NaN,0.0,NaN,NaN,113.64,0.0,NaN,NaN
53299,222.97,1,222.97,NaN,222.97,222.97,222.97,NaN,0.0,NaN,NaN,222.97,0.0,NaN,NaN
53338,174.15,1,174.15,NaN,174.15,174.15,174.15,NaN,0.0,NaN,NaN,174.15,0.0,NaN,NaN
53576,193.09,1,193.09,NaN,193.09,193.09,193.09,NaN,0.0,NaN,NaN,193.09,0.0,NaN,NaN
53620,740.39,1,740.39,NaN,740.39,740.39,740.39,NaN,0.0,NaN,NaN,740.39,0.0,NaN,NaN
53630,305.6,1,305.6,NaN,305.6,305.6,305.6,NaN,0.0,NaN,NaN,305.6,0.0,NaN,NaN
54258,208.61,1,208.61,NaN,208.61,208.61,208.61,NaN,0.0,NaN,NaN,208.61,0.0,NaN,NaN
54518,303.0,1,303.0,NaN,303.0,303.0,303.0,NaN,0.0,NaN,NaN,303.0,0.0,NaN,NaN
54844,137.65,1,137.65,NaN,137.65,137.65,137.65,NaN,0.0,NaN,NaN,137.65,0.0,NaN,NaN
55202,436.18,1,436.18,NaN,436.18,436.18,436.18,NaN,0.0,NaN,NaN,436.18,0.0,NaN,NaN
55966,339.4,1,339.4,NaN,339.4,339.4,339.4,NaN,0.0,NaN,NaN,339.4,0.0,NaN,NaN
