counterparty_country,acct_last_updated_ts_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
GRC,21,444.21076923076913,52,487.75,1.5220500699764044,25.0,1778.5,2.95,1.567400966177773,463.41308093754066,467.93429123029716,467.93429123029716,23098.959999999995,214751.68358402362,218962.50090920055,218962.50090920055
DNK,14,304.5006818181818,44,113.92,10.190967736773885,27.25,2157.64,5.55,2.823509428694877,383.8536798726929,388.291442097944,388.291442097944,13398.03,147343.6475518078,150770.24400650102,150770.24400650102
NOR,1,582.1288095238097,42,248.1,7.243580615321154,1.64,3491.02,1.64,2.3870775481029756,652.2214471225842,660.1274502892434,660.1274502892434,24449.410000000003,425392.81608667795,435768.2506253774,435768.2506253774
AUT,5,486.38753846153855,65,1680.88,13.617713768394673,259.2,4961.2,4.14,3.504379818841973,834.9862432271302,841.4842886475785,841.4842886475785,31615.190000000006,697202.0263785563,708095.8080407212,708095.8080407212
BRA,25,278.098275862069,58,1644.94,5.854682780900498,6.36,1995.56,1.0,2.3895342773739876,408.1683626597458,411.7332195374324,411.7332195374324,16129.7,166601.41227633777,169524.24407065948,169524.24407065948
SWE,1,487.91477272727263,44,103.68,10.218657795289271,2.95,3174.43,2.95,2.823340915774209,555.0143714375521,561.4309357202077,561.4309357202077,21468.249999999996,308040.95250222104,315204.695583668,315204.695583668
GBR,29,1861.8647368421057,19,310.8,10.498504906387236,15.8,22206.0,8.25,3.4064998573985243,5093.734299191682,5233.314506890095,5233.314506890095,35375.43000000001,2.5946129110761773E7,2.7387580728026316E7,2.7387580728026316E7
ZAF,8,314.68543478260864,46,277.35,0.5932382347221234,8.2,1067.33,3.75,1.17450952824159,289.4601834202427,292.65873558506877,292.65873558506877,14475.529999999997,83787.19778568053,85649.1355142512,85649.1355142512
TUR,8,360.5273333333335,60,308.8,5.517475409420564,16.5,1943.13,3.75,2.1971205412254453,392.0215326775927,395.3297899174285,395.3297899174285,21631.64000000001,153680.88208288886,156285.64279615815,156285.64279615815
ITA,22,254.2426923076923,52,514.39,26.41160046544795,76.5,2646.3,2.95,4.7300517131307735,383.00129215043813,386.7379786088918,386.7379786088918,13220.619999999999,146689.98978890528,149566.26409849167,149566.26409849167
