counterparty_acct_id,acct_stat_dt_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
6255,3,161.19,2,159.3,-1.9999999999999996,163.08,163.08,159.3,0.0,1.8900000000000006,2.6728636328851505,2.6728636328851505,322.38,3.572100000000002,7.144200000000004,7.144200000000004
6106,25,2597.4,1,2597.4,NaN,2597.4,2597.4,2597.4,NaN,0.0,NaN,NaN,2597.4,0.0,NaN,NaN
6095,20,21.9,1,21.9,NaN,21.9,21.9,21.9,NaN,0.0,NaN,NaN,21.9,0.0,NaN,NaN
3024,20,800.9399999999999,2,207.3,-2.0000000000000013,1394.58,1394.58,207.3,0.0,593.64,839.5337391671642,839.5337391671642,1601.8799999999999,352408.4496,704816.8992,704816.8992
5827,5,251.56,1,251.56,NaN,251.56,251.56,251.56,NaN,0.0,NaN,NaN,251.56,0.0,NaN,NaN
6003,20,433.29,1,433.29,NaN,433.29,433.29,433.29,NaN,0.0,NaN,NaN,433.29,0.0,NaN,NaN
2577,16,106.5,1,106.5,NaN,106.5,106.5,106.5,NaN,0.0,NaN,NaN,106.5,0.0,NaN,NaN
3788,29,167.47,1,167.47,NaN,167.47,167.47,167.47,NaN,0.0,NaN,NaN,167.47,0.0,NaN,NaN
1449,23,387.7,1,387.7,NaN,387.7,387.7,387.7,NaN,0.0,NaN,NaN,387.7,0.0,NaN,NaN
1591,25,193.62,1,193.62,NaN,193.62,193.62,193.62,NaN,0.0,NaN,NaN,193.62,0.0,NaN,NaN
5559,8,422.55,1,422.55,NaN,422.55,422.55,422.55,NaN,0.0,NaN,NaN,422.55,0.0,NaN,NaN
5502,2,257.34,1,257.34,NaN,257.34,257.34,257.34,NaN,0.0,NaN,NaN,257.34,0.0,NaN,NaN
1423,3,775.0,1,775.0,NaN,775.0,775.0,775.0,NaN,0.0,NaN,NaN,775.0,0.0,NaN,NaN
5493,11,898.83,2,1792.72,-1.999999999999998,4.94,1792.72,4.94,6.676023466538925E-16,893.89,1264.1513612696858,1264.1513612696858,1797.66,799039.3321,1598078.6642,1598078.6642
6074,22,347.005,2,448.34,-1.9999999999999998,245.67,448.34,245.67,0.0,101.335,143.3093313430776,143.3093313430776,694.01,10268.782224999999,20537.564449999998,20537.564449999998
3960,12,319.37,1,319.37,NaN,319.37,319.37,319.37,NaN,0.0,NaN,NaN,319.37,0.0,NaN,NaN
1882,24,613.93,1,613.93,NaN,613.93,613.93,613.93,NaN,0.0,NaN,NaN,613.93,0.0,NaN,NaN
6315,10,145.9,1,145.9,NaN,145.9,145.9,145.9,NaN,0.0,NaN,NaN,145.9,0.0,NaN,NaN
6335,12,1083.58,1,1083.58,NaN,1083.58,1083.58,1083.58,NaN,0.0,NaN,NaN,1083.58,0.0,NaN,NaN
3860,29,310.8,1,310.8,NaN,310.8,310.8,310.8,NaN,0.0,NaN,NaN,310.8,0.0,NaN,NaN
6456,7,319.02,1,319.02,NaN,319.02,319.02,319.02,NaN,0.0,NaN,NaN,319.02,0.0,NaN,NaN
4285,28,205.85,2,61.2,-2.0000000000000013,350.5,350.5,61.2,0.0,144.65,204.5659917972682,204.5659917972682,411.7,20923.6225,41847.245,41847.245
5568,19,144.97,1,144.97,NaN,144.97,144.97,144.97,NaN,0.0,NaN,NaN,144.97,0.0,NaN,NaN
3599,12,308.7,1,308.7,NaN,308.7,308.7,308.7,NaN,0.0,NaN,NaN,308.7,0.0,NaN,NaN
5913,26,204.67,3,136.5,-1.5,17.4,460.11,17.4,0.49825811914109336,187.0532859909176,229.0925526943205,229.0925526943205,614.01,34988.931800000006,52483.39770000001,52483.39770000001
3329,31,455.3,1,455.3,NaN,455.3,455.3,455.3,NaN,0.0,NaN,NaN,455.3,0.0,NaN,NaN
4809,25,43.485,2,68.22,-1.9999999999999998,18.75,68.22,18.75,0.0,24.735,34.98057246529851,34.98057246529851,86.97,611.8202249999999,1223.6404499999999,1223.6404499999999
6256,17,535.86,1,535.86,NaN,535.86,535.86,535.86,NaN,0.0,NaN,NaN,535.86,0.0,NaN,NaN
6390,2,120.25,1,120.25,NaN,120.25,120.25,120.25,NaN,0.0,NaN,NaN,120.25,0.0,NaN,NaN
