counterparty_id,acct_last_updated_ts_quarter,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
13489,1,112.38,4,77.28,-1.860306893194242,162.48,162.48,51.36,-0.10069461134675621,48.94716743592013,56.51932059039634,56.51932059039634,449.52,2395.8251999999998,3194.4336,3194.4336
15146,1,446.8866666666667,3,834.22,-1.5000000000000004,13.5,834.22,13.5,-0.20264626378194422,336.6363138792698,412.29359894780487,412.29359894780487,1340.66,113324.00782222224,169986.01173333335,169986.01173333335
13038,1,395.1,1,395.1,NaN,395.1,395.1,395.1,NaN,0.0,NaN,NaN,395.1,0.0,NaN,NaN
17923,1,207.5,1,207.5,NaN,207.5,207.5,207.5,NaN,0.0,NaN,NaN,207.5,0.0,NaN,NaN
14350,1,153.58,2,282.93,-1.9999999999999984,24.23,282.93,24.23,0.0,129.35,182.92852429295982,182.92852429295982,307.16,16731.422499999997,33462.844999999994,33462.844999999994
70328,1,277.45181818181817,11,333.0,-0.8993283994030623,6.95,635.68,6.95,0.10422626499990725,189.71211116838836,198.97174079844513,198.97174079844513,3051.97,35990.68512396694,39589.75363636363,39589.75363636363
14730,1,246.8414285714286,7,116.41,-1.251125251507487,244.93,435.41,116.41,0.6183088475434538,121.42905399904112,131.1583687034586,131.1583687034586,1727.89,14745.015155102043,17202.517680952384,17202.517680952384
17883,1,167.9425,4,119.35,-1.222304937079746,184.87,289.1,78.45,0.47206525143768957,79.58614621119683,91.89816587759881,91.89816587759881,671.77,6333.954668750001,8445.272891666667,8445.272891666667
14311,1,195.405,2,310.26,-2.0000000000000036,80.55,310.26,80.55,-6.146818810513732E-16,114.85499999999999,162.4294987063618,162.4294987063618,390.81,13191.671024999998,26383.342049999996,26383.342049999996
70470,1,214.15800000000004,5,146.0,-1.6454217851256052,16.95,483.99,16.95,0.32157016923469056,191.07548261354728,213.62888397873544,213.62888397873544,1070.7900000000002,36509.84005600001,45637.30007000001,45637.30007000001
