counterparty_id,open_dt_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
69670,30,37.6,1,37.6,NaN,37.6,37.6,37.6,NaN,0.0,NaN,NaN,37.6,0.0,NaN,NaN
13174,22,1415.97,1,1415.97,NaN,1415.97,1415.97,1415.97,NaN,0.0,NaN,NaN,1415.97,0.0,NaN,NaN
70031,5,391.5,1,391.5,NaN,391.5,391.5,391.5,NaN,0.0,NaN,NaN,391.5,0.0,NaN,NaN
69758,4,596.8,1,596.8,NaN,596.8,596.8,596.8,NaN,0.0,NaN,NaN,596.8,0.0,NaN,NaN
69919,2,199.85666666666668,3,287.08,-1.4999999999999991,6.95,305.54,6.95,-0.6974358092693386,136.61363873672678,167.31685340494946,167.31685340494946,599.57,18663.286288888896,27994.929433333342,27994.929433333342
69770,2,226.8,1,226.8,NaN,226.8,226.8,226.8,NaN,0.0,NaN,NaN,226.8,0.0,NaN,NaN
70201,28,251.0,1,251.0,NaN,251.0,251.0,251.0,NaN,0.0,NaN,NaN,251.0,0.0,NaN,NaN
12748,3,162.28583333333333,12,271.47,3.335638276207817,17.4,907.0,0.95,2.079292917477143,253.51344653549555,264.78615915689517,264.78615915689517,1947.43,64269.067574305554,70111.7100810606,70111.7100810606
69990,1,93.14999999999999,3,12.45,-1.5000000000000009,32.75,234.25,12.45,0.68536553303713,100.11636562853582,122.61700534591441,122.61700534591441,279.45,10023.286666666669,15034.930000000002,15034.930000000002
70090,1,61.05,1,61.05,NaN,61.05,61.05,61.05,NaN,0.0,NaN,NaN,61.05,0.0,NaN,NaN
70424,24,229.925,2,147.75,-1.9999999999999991,312.1,312.1,147.75,-4.195860111055338E-16,82.17500000000001,116.2129994880091,116.2129994880091,459.85,6752.730625000002,13505.461250000004,13505.461250000004
70338,7,843.78,1,843.78,NaN,843.78,843.78,843.78,NaN,0.0,NaN,NaN,843.78,0.0,NaN,NaN
14606,21,85.8425,4,104.48,-0.7231458674502198,120.0,120.0,15.0,-1.068081620751489,41.407919758785276,47.8137472386342,47.8137472386342,343.37,1714.6158187499998,2286.1544249999997,2286.1544249999997
15601,8,468.07,1,468.07,NaN,468.07,468.07,468.07,NaN,0.0,NaN,NaN,468.07,0.0,NaN,NaN
69781,18,29.7,1,29.7,NaN,29.7,29.7,29.7,NaN,0.0,NaN,NaN,29.7,0.0,NaN,NaN
17007,4,72.0,1,72.0,NaN,72.0,72.0,72.0,NaN,0.0,NaN,NaN,72.0,0.0,NaN,NaN
70128,16,306.15,1,306.15,NaN,306.15,306.15,306.15,NaN,0.0,NaN,NaN,306.15,0.0,NaN,NaN
70173,6,477.00333333333333,3,290.51,-1.5000000000000009,323.0,817.5,290.51,0.6974909767787971,241.13258459933522,295.32589631343427,295.32589631343427,1431.01,58144.92335555556,87217.38503333334,87217.38503333334
70478,18,148.0,1,148.0,NaN,148.0,148.0,148.0,NaN,0.0,NaN,NaN,148.0,0.0,NaN,NaN
13089,5,1078.344,5,958.93,-0.10881621769207284,3.75,3705.48,3.75,1.2330033300832532,1365.0746388179657,1526.1998433789724,1526.1998433789724,5391.72,1863428.7695439998,2329285.9619299998,2329285.9619299998
70074,16,202.05,2,279.3,-2.0,124.8,279.3,124.8,0.0,77.25,109.2479976933216,109.2479976933216,404.1,5967.5625,11935.125,11935.125
70228,12,487.45,1,487.45,NaN,487.45,487.45,487.45,NaN,0.0,NaN,NaN,487.45,0.0,NaN,NaN
69844,23,120.14,2,55.5,-1.9999999999999982,184.78,184.78,55.5,-4.3102861188144305E-16,64.64,91.41476467179686,91.41476467179686,240.28,4178.3296,8356.6592,8356.6592
69769,10,515.775,2,514.5,-2.000000000000001,517.05,517.05,514.5,4.2851858531643984E-16,1.2749999999999773,1.803122292025664,1.803122292025664,1031.55,1.625624999999942,3.251249999999884,3.251249999999884
13534,8,240.9,3,31.8,-1.5,383.55,383.55,31.8,-0.5746273915708846,151.09316662245186,185.05058092316273,185.05058092316273,722.7,22829.145,34243.7175,34243.7175
70006,1,9.25,1,9.25,NaN,9.25,9.25,9.25,NaN,0.0,NaN,NaN,9.25,0.0,NaN,NaN
17571,2,284.35,1,284.35,NaN,284.35,284.35,284.35,NaN,0.0,NaN,NaN,284.35,0.0,NaN,NaN
70521,14,390.0,1,390.0,NaN,390.0,390.0,390.0,NaN,0.0,NaN,NaN,390.0,0.0,NaN,NaN
69931,6,968.3,1,968.3,NaN,968.3,968.3,968.3,NaN,0.0,NaN,NaN,968.3,0.0,NaN,NaN
69810,12,518.2,1,518.2,NaN,518.2,518.2,518.2,NaN,0.0,NaN,NaN,518.2,0.0,NaN,NaN
18196,15,450.78,1,450.78,NaN,450.78,450.78,450.78,NaN,0.0,NaN,NaN,450.78,0.0,NaN,NaN
12823,26,229.5,2,229.5,NaN,229.5,229.5,229.5,NaN,0.0,0.0,0.0,459.0,0.0,0.0,0.0
70255,20,584.32,1,584.32,NaN,584.32,584.32,584.32,NaN,0.0,NaN,NaN,584.32,0.0,NaN,NaN
15996,3,222.29,1,222.29,NaN,222.29,222.29,222.29,NaN,0.0,NaN,NaN,222.29,0.0,NaN,NaN
12352,17,255.3,2,144.35,-2.0000000000000013,366.25,366.25,144.35,0.0,110.95,156.9069947452949,156.9069947452949,510.6,12309.9025,24619.805,24619.805
15061,23,597.81,1,597.81,NaN,597.81,597.81,597.81,NaN,0.0,NaN,NaN,597.81,0.0,NaN,NaN
